관측분야 : 지상
조회기간 : 월별: 2001 ~ 2010년 03월
관측지점 : 강릉(105), 강진군(259), 강화(201), 거제(294), 거창(284), 경주시(283), 고산(185), 고창(172), 고창군(251), 고흥(262), 광양시(266), 광주(156), 구미(279), 군산(140), 금산(238), 김해시(253), 남원(247), 남해(295), 대관령(100), 대구(143), 대구(기)(176), 대전(133), 동두천(98), 동해(106), 목포(165), 문경(273), 밀양(288), 백령도(102), 보령(235), 보성군(258), 보은(226), 봉화(271), 부산(159), 부안(243), 부여(236), 북강릉(104), 북창원(255), 북춘천(93), 산청(289), 상주(137), 서귀포(189), 서산(129), 서울(108), 성산(188), 속초(90), 수원(119), 순창군(254), 순천(174), 안동(136), 양산시(257), 양평(202), 여수(168), 영광군(252), 영덕(277), 영월(121), 영주(272), 영천(281), 완도(170), 울릉도(115), 울산(152), 울진(130), 원주(114), 의령군(263), 의성(278), 이천(203), 인제(211), 인천(112), 임실(244), 장수(248), 장흥(260), 전주(146), 정선군(217), 정읍(245), 제주(184), 제천(221), 진도(첨찰산)(175), 진도군(268), 진주(192), 창원(155), 천안(232), 철원(95), 청송군(276), 청주(131), 추풍령(135), 춘천(101), 충주(127), 태백(216), 통영(162), 파주(99), 포항(138), 함양군(264), 합천(285), 해남(261), 홍성(예)(177), 홍천(212), 흑산도(169)
출력기후요소 : 황사일수

지점번호,지점,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,합계 (day),
원시자료
105,강릉,9,7,1,4,,5,4,,,,30,
201,강화,10,6,1,,,,,,,,17,
294,거제,5,5,,3,,1,,,,,14,
284,거창,2,,1,,1,2,,,2,6,14,
185,고산,11,6,1,3,1,2,1,2,,4,31,
251,고창군,,,,,,,,,2,5,7,
156,광주,10,6,1,3,1,5,3,2,2,6,39,
279,구미,7,5,,,,,,,3,7,22,
140,군산,11,6,1,4,1,3,4,3,2,4,39,
238,금산,,6,,,,,,,,,6,
247,남원,,,,,,,,,2,5,7,
295,남해,5,5,1,2,,,,,,,13,
100,대관령,8,6,1,4,1,4,4,,3,6,37,
143,대구,9,5,1,3,1,4,4,2,3,7,39,
133,대전,11,7,1,5,1,2,4,3,2,4,40,
98,동두천,11,9,1,4,1,5,4,3,3,4,45,
106,동해,9,6,,4,,5,3,,3,7,37,
165,목포,8,6,1,4,1,4,3,2,2,5,36,
288,밀양,4,2,,,,1,,,,,7,
102,백령도,12,9,,5,1,6,3,2,3,4,45,
235,보령,,,,,,,,,2,4,6,
159,부산,7,5,,3,,4,1,2,2,4,28,
104,북강릉,,,,,,,,,3,7,10,
289,산청,8,4,1,2,,,,,,,15,
137,상주,,6,1,3,1,5,4,2,3,7,32,
189,서귀포,11,6,,3,1,3,1,2,,4,31,
129,서산,11,7,1,5,1,4,4,3,2,4,42,
108,서울,11,6,1,4,1,3,4,3,3,4,40,
188,성산,,,,,,,,2,,4,6,
90,속초,10,7,,4,,5,4,1,3,7,41,
119,수원,11,8,1,4,1,3,4,3,2,4,41,
136,안동,10,6,1,3,1,5,4,2,3,7,42,
168,여수,8,6,1,3,1,1,2,2,2,5,31,
277,영덕,8,,,,,,,,,,8,
121,영월,11,6,1,4,1,5,4,1,2,7,42,
281,영천,7,,,,,,,,,,7,
170,완도,8,6,1,4,1,2,3,2,2,5,34,
115,울릉도,3,6,,2,,3,3,1,3,5,26,
152,울산,8,5,1,3,,4,1,2,2,4,30,
130,울진,10,5,1,3,,5,3,2,3,5,37,
114,원주,11,6,1,4,1,4,4,1,3,7,42,
203,이천,,,,,,,,,2,5,7,
112,인천,12,8,1,4,1,3,4,3,2,4,42,
146,전주,10,6,1,4,1,4,4,3,2,6,41,
245,정읍,,,,,,,,,2,4,6,
184,제주,11,6,1,3,1,2,1,2,,4,31,
175,진도(첨찰산),,6,1,4,1,2,3,2,2,6,27,
192,진주,8,5,1,2,1,4,1,2,2,5,31,
155,창원,8,5,1,3,,4,1,2,2,3,29,
232,천안,,,1,4,1,,,,2,5,13,
95,철원,12,7,1,4,1,5,4,1,2,3,40,
131,청주,11,7,1,5,1,4,4,3,2,6,44,
135,추풍령,10,7,1,5,1,4,4,3,3,7,45,
101,춘천,13,6,1,4,1,6,4,1,3,4,43,
127,충주,11,7,1,5,1,4,4,3,2,6,44,
162,통영,8,5,1,2,,4,1,2,2,3,28,
99,파주,,8,1,4,1,5,4,3,3,4,33,
138,포항,9,6,1,3,,4,2,2,3,4,34,
285,합천,7,2,1,2,,2,,,,,14,
212,홍천,,3,,,,,,,,,3,
169,흑산도,8,6,1,4,1,3,3,5,2,5,38,
,[합계],433,297,41,164,33,165,127,87,110,252,1709,
