"","SIDO","SIGUNGU","SIGUNGU2","SIG_CD","POP_DEN","YEAR"
"1","서울","종로구","",11110,"7793.69",2000
"2","서울","중구","",11140,"14153.23",2000
"3","서울","용산구","",11170,"10978.27",2000
"4","서울","성동구","",11200,"20231.92",2000
"5","서울","광진구","",11215,"22948.85",2000
"6","서울","동대문구","",11230,"26764.3",2000
"7","서울","중랑구","",11260,"24773.09",2000
"8","서울","성북구","",11290,"18759.78",2000
"9","서울","강북구","",11305,"14906.49",2000
"10","서울","도봉구","",11320,"17823.07",2000
"11","서울","노원구","",11350,"17859.42",2000
"12","서울","은평구","",11380,"15796.18",2000
"13","서울","서대문구","",11410,"20876.37",2000
"14","서울","마포구","",11440,"16221.93",2000
"15","서울","양천구","",11470,"27972.88",2000
"16","서울","강서구","",11500,"12592.48",2000
"17","서울","구로구","",11530,"20045.1",2000
"18","서울","금천구","",11545,"20490.84",2000
"19","서울","영등포구","",11560,"16547.29",2000
"20","서울","동작구","",11590,"25431.38",2000
"21","서울","관악구","",11620,"17736.49",2000
"22","서울","서초구","",11650,"8440.44",2000
"23","서울","강남구","",11680,"13915.79",2000
"24","서울","송파구","",11710,"19580.7",2000
"25","서울","강동구","",11740,"20203.47",2000
"26","부산","중구","",26110,"20765.39",2000
"27","부산","서구","",26140,"11595.53",2000
"28","부산","동구","",26170,"13006.21",2000
"29","부산","영도구","",26200,"13204.58",2000
"30","부산","부산진구","",26230,"14505.75",2000
"31","부산","동래구","",26260,"17973.93",2000
"32","부산","남구","",26290,"11688.37",2000
"33","부산","북구","",26320,"8023.58",2000
"34","부산","해운대구","",26350,"7947.35",2000
"35","부산","사하구","",26380,"9506.42",2000
"36","부산","금정구","",26410,"4483.82",2000
"37","부산","강서구","",26440,"351.95",2000
"38","부산","연제구","",26470,"18488.28",2000
"39","부산","수영구","",26500,"18181.58",2000
"40","부산","사상구","",26530,"8403.14",2000
"41","부산","기장군","",26710,"341.5",2000
"42","대구","중구","",27110,"12980.4",2000
"43","대구","동구","",27140,"1853.78",2000
"44","대구","서구","",27170,"16340.23",2000
"45","대구","남구","",27200,"11248.09",2000
"46","대구","북구","",27230,"4288.2",2000
"47","대구","수성구","",27260,"6012.26",2000
"48","대구","달서구","",27290,"9452.4",2000
"49","대구","달성군","",27710,"361.29",2000
"50","인천","중구","",28110,"812.01",2000
