CODE,NAME,month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
105,강릉,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,강화,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,거제,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,고산,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
251,고창군,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,광주,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
279,구미,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,군산,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,금산,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,남원,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
295,남해,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,대관령,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,대구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,대전,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,동두천,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,동해,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,목포,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,백령도,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
235,보령,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,부산,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,서귀포,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,서산,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,서울,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,성산,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,속초,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
