"NAME","CODE","YEAR","YD","MONTH"
"서울",108,2016,0,1
"서울",108,2015,1,1
"서울",108,2014,1,1
"서울",108,2013,0,1
"서울",108,2012,0,1
"서울",108,2011,0,1
"서울",108,2010,1,1
"서울",108,2009,0,1
"서울",108,2008,0,1
"서울",108,2007,0,1
"서울",108,2006,0,1
"서울",108,2005,0,1
"서울",108,2004,0,1
"서울",108,2003,0,1
"서울",108,2002,2,1
"서울",108,2001,1,1
"백령도",102,2016,0,1
"백령도",102,2015,0,1
"백령도",102,2014,2,1
"백령도",102,2013,0,1
"백령도",102,2012,0,1
"백령도",102,2011,0,1
"백령도",102,2010,1,1
"백령도",102,2009,0,1
"백령도",102,2008,0,1
"백령도",102,2007,0,1
"백령도",102,2006,1,1
"백령도",102,2005,0,1
"백령도",102,2004,0,1
"백령도",102,2003,0,1
"백령도",102,2002,0,1
"백령도",102,2001,1,1
"파주",99,2016,0,1
"파주",99,2015,0,1
"파주",99,2014,0,1
"파주",99,2010,1,1
"파주",99,2009,0,1
"파주",99,2008,0,1
"파주",99,2007,0,1
"파주",99,2006,0,1
"파주",99,2005,0,1
"파주",99,2004,0,1
"파주",99,2003,0,1
"파주",99,2002,1,1
"파주",99,2001,0,1
"동두천",98,2010,1,1
"동두천",98,2009,0,1
"동두천",98,2008,0,1
"동두천",98,2007,0,1
"동두천",98,2006,0,1
"동두천",98,2005,0,1
"동두천",98,2004,0,1
"동두천",98,2003,0,1
"동두천",98,2002,1,1
"동두천",98,2001,1,1
"인천",112,2016,0,1
"인천",112,2015,1,1
"인천",112,2014,1,1
"인천",112,2013,0,1
"인천",112,2012,0,1
"인천",112,2011,0,1
"인천",112,2010,1,1
"인천",112,2009,0,1
"인천",112,2008,0,1
"인천",112,2007,0,1
"인천",112,2006,0,1
"인천",112,2005,0,1
"인천",112,2004,0,1
"인천",112,2003,0,1
"인천",112,2002,1,1
"인천",112,2001,1,1
"수원",119,2016,0,1
"수원",119,2015,0,1
"수원",119,2014,1,1
"수원",119,2013,0,1
"수원",119,2012,0,1
"수원",119,2011,0,1
"수원",119,2010,1,1
"수원",119,2009,0,1
"수원",119,2008,0,1
"수원",119,2007,0,1
"수원",119,2006,0,1
"수원",119,2005,0,1
"수원",119,2004,0,1
"수원",119,2003,0,1
"수원",119,2002,2,1
"수원",119,2001,1,1
"강화",201,2007,0,1
"강화",201,2006,0,1
"강화",201,2005,0,1
"강화",201,2004,0,1
"강화",201,2003,0,1
"강화",201,2002,1,1
"강화",201,2001,1,1
"이천",203,2010,1,1
"이천",203,2009,0,1
"이천",203,2008,0,1
"강릉",105,2007,0,1
"강릉",105,2006,0,1
"강릉",105,2005,0,1
"강릉",105,2004,0,1
"강릉",105,2003,0,1
"강릉",105,2002,1,1
"강릉",105,2001,2,1
"북강릉",104,2016,0,1
"북강릉",104,2015,0,1
"북강릉",104,2014,0,1
"북강릉",104,2013,0,1
"북강릉",104,2012,0,1
"북강릉",104,2011,0,1
"북강릉",104,2010,0,1
"북강릉",104,2009,0,1
"북강릉",104,2008,0,1
"북춘천",93,2016,0,1
"춘천",101,2016,0,1
"춘천",101,2015,0,1
"춘천",101,2014,1,1
"춘천",101,2013,0,1
"춘천",101,2012,0,1
"춘천",101,2011,0,1
