Source,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,X_COORD,Y_COORD
1499677395.842,43111,"Sangdang-gu, Cheongju-si",?????? ??????,127.5848901550,36.5919618807
1499677395.842,43112,"Seowon-gu, Cheongju-si",?????? ??????,127.4383934381,36.5471077237
1499677395.842,43113,"Heungdeok-gu, Cheongju-si",?????? ??????,127.3692594960,36.6468160609
1499677395.842,43114,"Cheongwon-gu, Cheongju-si",?????? ??????,127.4913165942,36.7204420702
1499677395.842,43130,Chungju-si,??????,127.8957090569,37.0150914627
1499677395.842,43150,Jecheon-si,??????,128.1410351419,37.0598110035
1499677395.842,43720,Boeun-gun,??????,127.7293626142,36.4897881363
1499677395.842,43730,Okcheon-gun,??????,127.6565772119,36.3202766256
1499677395.842,43740,Yeongdong-gun,??????,127.8142649096,36.1594623236
1499677395.842,43745,Jeungpyeong-gun,??????,127.6046304148,36.7863431927
1499677395.842,43750,Jincheon-gun,??????,127.4404565228,36.8708787209
1499677395.842,43760,Goesan-gun,??????,127.8296269809,36.7695273639
1499677395.842,43770,Eumseong-gun,??????,127.6142202695,36.9761130432
1499677395.842,43800,Danyang-gun,??????,128.3879465861,36.9943447598
1499677395.863,44131,"Dongnam-gu, Cheonan-si",????????????,127.2208617019,36.7639849826
1499677395.863,44133,"Seobuk-gu, Cheonan-si",????????????,127.1617694710,36.8925921299
1499677395.863,44150,Gongju-si,??????,127.0751692170,36.4796571705
1499677395.863,44180,Boryeong-si,??????,126.5941408311,36.3400674742
1499677395.863,44200,Asan-si,??????,126.9800142458,36.8071886118
1499677395.863,44210,Seosan-si,??????,126.4634793865,36.7838628570
1499677395.863,44230,Nonsan-si,??????,127.1576763129,36.1906935937
1499677395.863,44250,Gyeryong-si,??????,127.2343954884,36.2914111161
1499677395.863,44270,Dangjin-si,??????,126.6526444390,36.9031400782
1499677395.863,44710,Geumsan-gun,??????,127.4783093524,36.1187998949
1499677395.863,44760,Buyeo-gun,??????,126.8568923263,36.2461963429
