"","NAME","ADDRESS","LAT","LNG"
"1","강남대로","서울+서초구+강남대로+201",37.48181,127.0357439
"2","공항대로","서울+강서구+마곡역",37.5764888,126.8307466
"3","도산대로","서울+강남구+도산대로+104+",37.5160375,127.0203278
"4","동작대로 중앙차로","서울+동작구+동작대로+144",37.4854059,126.980416
"5","신촌로","서울+마포구+노고산동+57-62",37.5551331,126.9361268
"6","정릉로","서울+성북구+정릉로+180",37.6067239,127.0048636
"7","청계천로","서울+중구+청계천로+184",37.5686022,126.9981682
"8","홍릉로","서울+동대문구+홍릉로+1",37.5804857,127.0444312
"9","계산","인천+계양구+계산동+907-4",37.5460166,126.7301724
"10","고잔","인천+남동구+고잔동+637",37.4048391,126.6971575
"11","부평역","인천+부평구+부평3동+186-218",37.4860951,126.7081928
"12","석모리","인천+강화군+삼산면+석모리+347-4",37.6955531,126.3335311
"13","석바위","인천+남구+주안6동+1587",37.4579743,126.6910776
"14","송현","인천+동구+송현동+119",37.4806641,126.6358196
"15","숭의","인천+남구+숭의동+131-1",37.4634703,126.6502865
"16","신흥","인천+중구+신흥동+2가+18-4",37.4679593,126.6350026
"17","연희","인천+서구+심곡동+244",37.5451913,126.6758753
"18","경안동","경기+광주시+경안동+53-4+",37.4111587,127.2579705
"19","광교동","경기+수원시+영통구+법조로+129",37.2912716,127.0708178
"20","금촌동","경기+파주시+금촌동+후곡로+13",37.7562857,126.7739286
"21","기흥","경기+용인시+기흥구+관곡로+95",37.2802242,127.1151398
"22","동수원","경기+수원시+팔달구+우만동+562-7",37.2788817,127.0312503
"23","모란역","경기+성남시+수정구+수진2동+453",37.4374695,127.1285692
"24","봉산동","경기+안성시+봉산동+시청길+25",37.008025,127.279817
"25","부곡3동","경기+의왕시+부곡3동+부곡중앙남1길+19",37.3195089,126.9502569
"26","설성면","경기+이천시+설성면+신필리+산+88-5",37.1387735,127.5471615
"27","소하동","경기+광명시+소하동+1331",37.4397958,126.8832786
"28","안중","경기+평택시+안중읍+안중리+안중읍사무소",36.9857715,126.9317124
"29","여주","경기+여주시+하동+134-11",37.2980237,127.6371628
"30","원시동","경기+안산시+단원구+산단로+112",37.3052549,126.7885028
"31","의정부동","경기+의정부시+의정부2동+551-2",37.735582,127.0404207
"32","정왕동","경기+시흥시+정왕동+1799-5",37.3468122,126.7400834
"33","평택항","경기+평택시+포승읍+만호리+576-4",36.9746048,126.8455396
"34","행신동","경기+고양시+덕양구+행신동+59-3",37.6181827,126.8376892
"35","간성읍","강원+고성군+간성읍+흘리+산+1-92",38.2874362,128.3852152
"36","남양동1","강원+삼척시+남양동+339-1",37.4413076,129.1691186
"37","방산면","강원+양구군+방산면+송현1리+519-2",38.2237447,127.9581179
"38","석사동","강원+춘천시+석사동+322-1",37.8570697,127.7494966
"39","중앙로","강원+춘천시+중앙로+3가+67-1",37.8757473,127.7207644
"40","천곡동","강원+동해시+천곡동+806",37.5250249,129.114494
"41","치악산","강원+횡성군+강림면+강림리+1538",37.360138,128.1250947
"42","모종동","충남+아산시+모종동+573-2",36.7826194,127.0145206
"43","매포읍","충북+단양군+매포읍+평동리+1274",37.0333563,128.2957257
"44","문화동","충북+청주시+상당구+문화동+89",36.6358093,127.4913338
"45","복대동","충북+청주시+흥덕구+복대동+111",36.6344233,127.4470453
"46","사천동","충북+청주시+청원구+사천동+233-223",36.6424341,127.4890319
"47","옥천읍","충북+옥천군+옥천읍+중앙로+99",36.3050837,127.5707891
"48","용암동","충북+청주시+상당구+용암동+1590",36.6088179,127.5012932
"49","장락동","충북+제천시+장락동+672-8",37.1451372,128.220664
"50","진천읍","충북+진천군+진천읍+상산로+65",36.855086,127.4412279
"51","칠금동","충북+충주시+칠금동+874",36.9820862,127.9192058
"52","호암동","충북+충주시+호암동+562",36.9645667,127.9261579
"53","노은동","대전+유성구+노은동+546",36.3682342,127.3184583
"54","대흥동1","대전+중구+대흥동+630-1",36.3237437,127.4186358
"55","둔산동","대전+서구+둔산동+1304",36.3542639,127.3834662
"56","문평동","대전+대덕구+문평동+79-1",36.446907,127.404716
"57","월평동","대전+서구+월평동+1528",36.3534785,127.3599023
"58","3공단","경북+포항시+남구+대송면+옥명리+526",35.9630419,129.3768479
