year,month,Value
2011,1,NA
2012,1,64.43918919
2013,1,102.1754144
2014,1,72.63072776
2015,1,84.62702703
2016,1,72.43918919
2011,2,NA
2012,2,53.0723589
2013,2,64.35671642
2014,2,52.27761194
2015,2,66.87969925
2016,2,57.58730159
2011,3,NA
2012,3,67.27913279
2013,3,65.0013459
2014,3,54.49122807
2015,3,50.49583333
2016,3,56.34699854
2011,4,NA
2012,4,54.0703125
2013,4,61.7752809
2014,4,51.67688022
2015,4,53.50434783
2016,4,55.70308123
2011,5,NA
2012,5,54.04709576
2013,5,53.21917808
2014,5,61.09065934
2015,5,41.00403769
2016,5,48.52759085
2011,6,NA
2012,6,40.12552891
2013,6,44.26950355
2014,6,42.09888579
2015,6,36.49372385
2016,6,35.32684284
2011,7,NA
2012,7,26.72591588
2013,7,31.72663877
2014,7,35.06747638
2015,7,35.4359673
2016,7,34.75236806
2011,8,NA
2012,8,16.06802721
2013,8,26.30055402
2014,8,29.14518318
2015,8,36.02298851
2016,8,20.59223301
2011,9,NA
2012,9,44.22881356
2013,9,27.84568835
2014,9,28.89321789
2015,9,27.99164345
2016,9,28.14308176
2011,10,NA
2012,10,55.41450068
2013,10,36.17520216
2014,10,38.7221458
2015,10,37.77366864
2016,10,20.65277778
2011,11,NA
2012,11,67.81779053
2013,11,79.11977716
2014,11,53.61087268
2015,11,56.00151515
2016,11,50.0181311
2011,12,68.09090909
2012,12,64.41374663
2013,12,122.1803499
2014,12,74.66756393
2015,12,82.07152497
2016,12,63.05825243
