"YEAR","MONTH","AQI"
2014,1,150.516129032258
2015,1,133.548387096774
2016,1,106.290322580645
2014,2,130.678571428571
2015,2,117.214285714286
2016,2,77.2758620689655
2014,3,152
2015,3,114.838709677419
2016,3,120.58064516129
2014,4,121.166666666667
2015,4,100.379310344828
2016,4,100.266666666667
2014,5,101.225806451613
2015,5,87.8064516129032
2016,5,89.5806451612903
2014,6,96.4666666666667
2015,6,99.2666666666667
2016,6,100.866666666667
2014,7,116.258064516129
2015,7,77.2903225806452
2016,7,87.8709677419355
2014,8,86.9677419354839
2015,8,78.4666666666667
2016,8,71.6451612903226
2014,9,80.5
2015,9,67.6666666666667
2016,9,89.3793103448276
2014,10,136.064516129032
2015,10,86.0967741935484
2014,11,133.464285714286
2015,11,119.266666666667
2014,12,140.838709677419
2015,12,161.935483870968
