SIG_CD,HubDist,std
43111,820.6813515,0.521640359
43112,808.1373087,0.542370197
43113,812.1658188,0.535712825
43114,823.2724167,0.517358457
43130,873.0756122,0.435055473
43150,890.0002656,0.407086394
43720,821.3076558,0.520605351
43730,805.9099087,0.546051119
43740,804.2818326,0.548741619
43745,836.9537527,0.49474917
43750,834.8626413,0.498204866
43760,851.9456484,0.469974097
43770,855.4271103,0.464220758
43800,905.5587508,0.381374996
44131,811.2335391,0.537253477
44133,819.5260765,0.523549526
44150,780.6282871,0.587830625
44180,725.7686723,0.678489668
44200,800.245537,0.555411857
44210,774.0910369,0.598633852
44230,763.3250579,0.616425324
44250,775.7656361,0.595866469
44270,790.2694313,0.571898014
44710,778.2891125,0.591696262
44760,747.6600916,0.642312689
44770,723.7994261,0.681743974
44790,763.5658347,0.616027425
44800,759.0646941,0.62346585
44810,777.8980197,0.592342568
44825,735.5481011,0.662328533
50110,547.9847867,0.972288977
50130,531.2162877,1
45111,729.8380081,0.671764829
45113,733.6495009,0.665466092
45130,694.4850452,0.730187874
45140,738.6608408,0.65718453
45180,702.1066005,0.717592764
45190,724.666175,0.680311616
45210,707.1680804,0.709228343
45710,740.0364974,0.654911169
45720,753.6762001,0.632370683
45730,779.9295406,0.588985349
45740,747.3428172,0.642837006
45750,726.0594096,0.678009206
45770,700.4032388,0.720407679
45790,668.0844889,0.773816492
45800,678.8539695,0.756019233
46110,605.4031672,0.877401409
46130,672.9696361,0.765743472
46150,693.0166517,0.732614489
46170,642.6967383,0.815771383
46230,715.0619804,0.696183165
46710,683.5649723,0.748233997
46720,695.9682421,0.727736796
46730,715.8216511,0.69492776
46770,660.5628186,0.786246536
46780,668.6175772,0.772935529
46790,666.5295448,0.776386137
46800,635.3795778,0.827863462
46810,622.0995243,0.849809604
46820,595.3478503,0.894018467
46830,623.00028,0.848321048
46840,619.5705149,0.853988955
46860,637.9199032,0.823665411
46870,638.4479079,0.822792849
46880,671.0496863,0.768916313
46890,598.5548822,0.88871864
46900,555.4811273,0.959900791
46910,548.5759826,0.971311987
28110,831.5419164,0.503692577
28140,841.8087705,0.48672594
28170,840.7908067,0.488408191
28185,833.710957,0.500108098
28200,841.5149955,0.487211422
28237,847.228244,0.477769912
28245,853.6622004,0.467137385
28260,847.5588172,0.477223618
28710,842.63356,0.485362922
28720,792.5584862,0.568115203
31110,873.2934068,0.434695553
31140,870.314821,0.439617858
31170,879.6908022,0.424123446
31200,880.4783985,0.422821892
31710,860.4765667,0.455876206
36110,799.5510658,0.556559516
11110,870.366799,0.439531961
11140,867.1426457,0.444860082
11170,864.07729,0.449925779
11200,869.0247987,0.441749703
11215,871.2271809,0.438110124
11230,872.459689,0.436073325
11260,875.823902,0.430513747
11290,873.0540865,0.435091045
11305,876.1296832,0.430008424
11320,878.719488,0.425728605
11350,880.1853089,0.423306242
11380,868.6316787,0.442399359
11410,866.2221585,0.446381246
11440,862.97275,0.451751103
11470,857.0562339,0.461528526
11500,858.7303557,0.458761932
11530,854.3479602,0.466004123
11545,853.4604513,0.467470788
11560,859.5684892,0.457376863
11590,859.0341664,0.458259865
11620,856.2757698,0.462818293
11650,862.3853447,0.452721828
11680,865.6084485,0.447395441
11710,869.0091341,0.441775589
11740,874.6122116,0.432516143
26110,825.9129948,0.512994732
26140,823.5891944,0.516834962
26170,828.0583612,0.509449376
26200,826.7610829,0.511593212
26230,830.3779712,0.505616072
26260,835.1040278,0.497805959
26290,832.0133162,0.502913559
26320,832.2277275,0.50255923
26350,841.1573338,0.487802481
26380,816.0931008,0.529222739
26410,838.872778,0.491577857
26440,814.1490629,0.532435386
26470,833.7198292,0.500093436
26500,835.3041331,0.497475272
26530,825.3755786,0.513882847
26710,849.5033287,0.474010188
30110,793.4127998,0.566703395
30140,785.6558048,0.579522329
30170,780.9766216,0.58725498
30200,788.5993146,0.574657989
30230,797.9467302,0.559210784
27110,838.0425792,0.492949814
27140,848.885898,0.475030532
27170,835.2495557,0.497565465
27200,834.9617977,0.498041003
27230,840.375932,0.489093798
27260,840.6746458,0.488600154
27290,830.2083214,0.505896429
27710,826.8287807,0.511481337
29110,669.3574288,0.771712877
29140,663.3218551,0.781687051
29155,660.0137134,0.787153968
29170,672.3793776,0.766718912
29200,658.2389785,0.790086831
47111,906.1793394,0.380349434
47113,904.4314841,0.383237877
47130,886.0351837,0.413638947
47150,813.8108092,0.532994372
47170,893.8080593,0.40079377
47190,843.7719555,0.483481651
47210,908.23081,0.376959247
47230,871.1711964,0.438202642
47250,841.4766559,0.487274781
47280,863.5089518,0.450864995
47290,853.8156232,0.466883844
47720,862.2864049,0.452885332
47730,871.3917989,0.437838083
