,year,month,name,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
1,2001,1,옥천동,42150,105,NA,NA,0.027322581,0.010264706,NA
2,2001,1,간성읍,42820,90,0.005200269,NA,NA,NA,NA
3,2001,1,방산면,42800,211,0.012217742,NA,0.026204301,0.009193548,36.77818182
4,2001,1,명륜동,42130,114,0.009298273,1.038546603,0.01122606,0.017389325,NA
5,2001,1,중앙동(원주),42130,114,0.013008065,1.860592593,0.016397849,0.021537634,52.79888268
6,2001,1,과천동,41290,108,0.022143817,1.014689266,NA,0.035262097,49.13296399
7,2001,1,별양동,41290,108,0.007721774,1.037849162,0.017129032,0.032053763,89.19086022
9,2001,1,철산동,41210,108,0.011427211,NA,0.013677686,0.032682138,66.27762431
10,2001,1,교문동,41310,108,0.008418056,1.651527778,0.013835294,0.028195833,59.66111111
11,2001,1,당동,41410,119,0.026043069,NA,0.013510736,0.032547425,78.38037634
12,2001,1,금곡동,41360,108,0.011324288,1.676358696,0.01419323,0.024533967,35.94896552
13,2001,1,내동,41190,112,0.013091521,0.881607419,0.015779273,0.034025572,100.1318977
14,2001,1,소사본동,41190,112,0.011568919,1.225540541,0.013635135,0.038389189,95.0744249
15,2001,1,중2동,41190,112,0.008050179,0.711698718,0.011522907,0.052756661,66.90348101
16,2001,1,단대동,41131,108,0.009440217,1.908695652,0.009846467,0.024115962,82.55706522
18,2001,1,정자1동,41135,119,0.005575499,1.334699454,NA,0.022635744,89.04638472
19,2001,1,광교동,41117,119,0.006578875,1.04526749,0.009391484,0.035320334,51.14972527
20,2001,1,신풍동,41115,119,0.011008696,1.262557078,0.010946532,0.030865994,75.84638554
21,2001,1,인계동,41115,119,0.013573744,0.710497238,0.012564516,0.053389785,86.10349462
22,2001,1,시화공단,41390,112,NA,NA,NA,NA,NA
23,2001,1,정왕동,41390,112,0.013157895,1.194293866,0.020793447,0.044676638,77.56267806
24,2001,1,고잔동,41273,112,0.010067365,1.105918058,0.013529061,0.051237594,88.28656716
25,2001,1,본오동,41271,119,NA,NA,NA,NA,NA
