PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
97.41001353,279288,751201,83124,13825,9543,30573,12936,0,25842,236481,350958,4033,2518,5978,3386,0,,,,,,,,,0,0,0,0,0
44.84156977,416812,1376904,254286,66867,42041,32389,43199,0,6207,18758,1450,53,46,892,255,0,,,,,,,,,0,0,0,0,0
75.96216216,285735,586451,77657,9631,6992,22435,10034,0,5391,18899,3145,81,58,795,272,0,,,,,,,,,0,0,0,0,0
107.6151203,361561,704670,100696,10151,7630,27133,11503,0,18308,64736,12854,349,229,2360,1291,0,,,,,,,,,0,0,0,0,0
89.30945946,413722,806122,113053,11383,8787,34117,12012,0,1524,4548,102,11,8,198,89,0,,,,,,,,,0,0,0,0,0
76.03629032,410844,785170,98886,11292,8586,32705,12041,0,2523,7996,967,30,21,318,150,0,,,,,,,,,0,0,0,0,0
81.67768595,434395,772585,111667,12488,9497,31965,11620,0,1798,6253,1297,26,21,269,83,0,,,,,,,,,0,0,0,0,0
,452261,763365,113068,11912,8913,28543,13876,0,1624,5358,624,25,17,208,104,0,,,,,,,,,0,0,0,0,0
74.36335404,343859,681811,225687,39634,25799,24869,10819,0,904,2728,49,8,7,130,37,0,,,,,,,,,0,0,0,0,0
61.03653586,332847,558594,86102,9373,7072,21708,8855,0,5510,15982,63,32,31,807,198,0,,,,,,,,,0,0,0,0,0
86.31671159,531156,725361,148054,15767,11457,30814,9625,0,1687,4925,39,10,9,246,63,0,,,,,,,,,0,0,0,0,0
38.48142645,462356,840092,116328,12701,9764,34322,12647,0,6464,18585,203,33,31,906,254,0,,,,,,,,,0,0,0,0,0
64.45121951,387654,750360,96736,10890,8344,30530,11128,0,16283,164972,286089,3192,1982,3862,2563,0,,,,,,,,,0,0,0,0,0
81.38950276,415194,781493,101733,11468,8755,31528,12541,0,79231,238767,1114,743,722,12367,2691,0,,,,,,,,,0,0,0,0,0
83.82880435,402533,560886,107440,10477,7853,22601,7966,0,3080,10774,1377,74,50,303,307,0,,,,,,,,,0,0,0,0,0
67.59861111,516520,920272,140867,16480,11879,32166,17884,0,98431,274214,1801,873,809,13088,4023,0,,,,,,,,,0,0,0,0,0
46.13858268,406220,730900,103419,11839,8907,29072,11720,0,13084,74030,40318,971,620,2312,1063,0,,,,,,,,,0,0,0,0,0
69.29972752,277805,557130,80531,10623,7609,19320,10163,0,25446,90793,24385,630,405,3631,1369,0,,,,,,,,,0,0,0,0,0
46.52631579,464552,1015846,206545,33712,22483,36803,18505,0,22388,94444,36773,852,590,3405,1432,0,,,,,,,,,0,0,0,0,0
65.51075269,408338,728543,102585,12209,9316,30699,10884,0,535,1751,198,9,6,58,41,0,,,,,,,,,0,0,0,0,0
34.96584699,205551,269607,83697,6264,4156,7715,6092,0,1319,4441,574,21,17,209,56,0,0,0,0,0,0,4821,0,0,0,0,0,0,0
,526196,861768,129485,13557,10563,36912,12042,0,659,3036,1444,26,15,93,58,0,,,,,,,,,0,0,0,0,0
53.82849239,457318,995481,132474,18911,13122,37044,18168,0,4572,18294,5959,230,141,302,721,0,,,,,,,,,0,0,0,0,0
74.91666667,719520,2433439,3089616,214417,134863,86195,37793,0,8150,56208,83515,939,595,1618,819,0,,,,,,,,,0,0,0,0,0
44.47275204,659782,1217101,191600,24181,17111,44299,21901,0,1606,6282,1273,59,37,106,240,0,,,,,,,,,0,0,0,0,0
36.24545455,197789,357261,80094,11767,7595,8321,9905,0,270160,1657611,999475,112741,74621,47845,22738,0,0,1124,4287,186,167,13266,0,0,0,0,0,0,0
96.34636119,462318,825620,120403,13484,10199,32711,12503,0,4376,12359,276,15,12,574,190,0,,,,,,,,,0,0,0,0,0
83.33576642,139768,258482,38800,4663,3159,7043,6007,0,3181,40168,55456,30324,20316,305,257,0,0,0,599,0,0,11043,0,0,0,0,0,0,0
46.9394387,294371,668022,162736,13512,9232,20869,14316,0,102800,774872,606154,156904,104733,17983,9475,0,0,4215,8948,666,608,15466,0,0,0,0,0,0,0
,53625,170428,262799,4178,2647,3848,4300,0,4424,38049,99891,5786,3853,645,625,0,0,1967,3442,295,274,2430,0,0,0,0,0,0,0
33.81818182,210423,766175,2777962,55200,34379,13295,22616,0,10280,90573,200603,10573,7039,1399,1482,0,0,1967,3966,295,274,5588,0,0,0,0,0,0,0
46.69021739,506427,670506,150205,21634,14263,39760,11845,0,4418,30664,33313,12265,8214,551,349,0,0,2248,4458,382,341,10436,0,0,0,0,0,0,0
91.25837989,303677,731542,553363,21088,13781,18094,19193,0,201725,1320888,1695451,112815,74019,36758,18093,0,50,2145,6711,89,71,137910,0,0,0,0,0,0,0
57.15322581,14086,77409,9561,1088,768,2494,1661,0,217414,695741,127082,24098,16191,29992,9773,0,1740,74837,51500,3368,2646,4998,0,0,0,0,0,0,0
