"YEAR","MONTH","SO2","CO","O3","NO2","PM10","MEAN_TEMP","MEAN_MAX_TEMP","MEAN_MIN_TEMP","MAX_TEMP","MIN_TEMP","MEAN_PRES","MEAN_SEA_PRES","MAX_SEA_PRES","MIN_SEA_PRES","MEAN_WATER_PRES","MAX_WATER_PRES","MIN_WATER_PRES","MEAN_DEW_TEMP","MEAN_HUM","MIN_HUM","SUM_PRECI","DAY_MAX_PRECI","HOUR_MAX_PRECI","TEN_MINU_MAX_PRECI","MEAN_WIND_SPED","MAX_WIND_SPED","MAX_INST_WIND_SPED","MAX_WIND_DIR","MAX_INST_WIND_DIR","SUM_SUN","PERC_SUN","MAX_SNOW_DEP","MAX_NEW_SNOW_DEP","SUM_SNOW","MEAN_MIN_GRA_TEMP","MIN_GRA_TEMP","MEAN_SURF_TEMP","BEIJING_PM2.5","SHANGHAI_PM2.5","BEIJIING_PM2,5_STD","SHANGHAI_PM2,5_STD","POP_DEN","YD_FREQ","X_COORD","Y_COORD","BEIJING_AQI","TIANJIN_AQI"
2014,1,"0.004253137","0.512028651","0.020819822","0.013834746","50.8938172",-0.8,4.6,-6.6,9.9,-11.1,1022.3,1026,1035.7,1014.2,4.5,10.4,1.5,-4.9,76,19,"7","2.5",0,0,1.6,8.4,13.5,"290",290,181.2,58.6,2,1.2,3.6,-10.9,-16.3,"0.6","118.7734057","72.63072776","93.1784459676554","41.5373689613187","231.23","2",126.652644439,36.9031400782,"131.161290322581","150.516129032258"
2014,1,"0.005226415","0.76967655","0.009973046","0.035175202","63.48148148",-0.7,3.5,-4.9,8.2,-10.5,1014.3,1025.2,1035.3,1012.4,3.1,8.2,0.6,-10.7,50,13,"13","5.3",0,0,2.4,7.8,14.8,"270",270,184.4,60.03,6.1,5.3,8,-8.1,-14.8,"-0.9","118.7734057","72.63072776","90.2862726808089","31.8202571451438","21295.31","1",127.0856942073,37.5466574226,"131.161290322581","150.516129032258"
2014,1,"0.005797389","0.408212956","0.027122668","0.012713359","54.1533545",-1.8,3.1,-7.1,7.4,-12.9,1019.5,1025.6,1035.7,1012.6,3.6,8.4,0.8,-8.5,64,16,"5","4",0,0,1.5,7.4,14.4,"250",360,171.2,55.8,0,0,0,-9.7,-15.9,"-0.9","118.7734057","72.63072776","109.032296999677","35.2522622525801","163.13","",126.4019570842,37.7124125135,"131.161290322581","150.516129032258"
2014,1,"0.010628065","0.554359673","0.019459128","0.021846049","49.35352113",5,9.7,1.2,15.5,-5.4,1014.8,1023.5,1033.4,1010.9,3.8,12.4,0.8,-8,41,9,"9.6","7",0,0,3.5,9.5,16.6,"340",360,250.4,79.92,0,0,0,-2.8,-6.2,"3.9","118.7734057","72.63072776","24.6153584903698","36.5012426174052","7798.18","3",129.0236160792,35.2289332215,"131.161290322581","150.516129032258"
2014,1,"0.007384303","0.565087957","0.00973207","0.043163043","58.28032345",-0.7,3.5,-4.9,8.2,-10.5,1014.3,1025.2,1035.3,1012.4,3.1,8.2,0.6,-10.7,50,13,"13","5.3",0,0,2.4,7.8,14.8,"270",270,184.4,60.03,6.1,5.3,8,-8.1,-14.8,"-0.9","118.7734057","72.63072776","90.2116871390985","32.4946564763361","14635.37","1",127.0629331969,37.4965898656,"131.161290322581","150.516129032258"
2014,1,"0.005122973","0.539864865","0.023459459","0.014645946","60.50615595",0.7,8.9,-6.2,14.8,-10.6,1020.7,1024.5,1034.3,1011.3,3.4,11.5,0.6,-9.4,53,8,"7.1","4.5",0,0,1,6.4,12.2,"250",340,236.1,75.38,0,0,0,-10.1,-14.4,"1.2","118.7734057","72.63072776","48.0382462403202","48.9425815967903","72.87","3",127.7790812585,35.1379996116,"131.161290322581","150.516129032258"
2014,1,"0.007594673","1.029132792","0.008802168","0.046575475","65.44507961",-0.6,4.4,-5.8,9.3,-10.8,1021.1,1025.4,1035.5,1012.9,3.6,9.4,0.8,-8,61,15,"9.9","4.3",0,0,1.4,7,11.6,"290",250,177.7,57.66,3,3,3,-7.5,-12.7,"-1.2","118.7734057","72.63072776","90.5324561004043","34.4568167683952","2935.63","1",126.989564826,37.3623193174,"131.161290322581","150.516129032258"
2014,1,"0.008722456","0.742890327","0.013831845","0.034320893","68.26923077",1.1,9.3,-5.6,15.6,-10,1022.8,1024.2,1033.7,1010.6,3.3,11.3,0.7,-8.9,51,6,"6","3.5",0,0,1.2,7.6,12.1,"290",290,219.2,70.23,0,0,0,-9.9,-16.2,"2.4","118.7734057","72.63072776","26.4174357546922","35.1315557208705","602.28","",129.0412200968,35.4016100832,"131.161290322581","150.516129032258"
2014,1,"0.008123978","0.446394558","0.017493878","0.028246259","51.02176871",5,9.7,1.2,15.5,-5.4,1014.8,1023.5,1033.4,1010.9,3.8,12.4,0.8,-8,41,9,"9.6","7",0,0,3.5,9.5,16.6,"340",360,250.4,79.92,0,0,0,-2.8,-6.2,"3.9","118.7734057","72.63072776","21.7914009274859","36.5269777905417","10704.8","3",129.0941905807,35.1258293856,"131.161290322581","150.516129032258"
2014,1,"0.008628378","0.834864865","0.009319293","0.043805405","57.18696884",-0.7,3.5,-4.9,8.2,-10.5,1014.3,1025.2,1035.3,1012.4,3.1,8.2,0.6,-10.7,50,13,"13","5.3",0,0,2.4,7.8,14.8,"270",270,184.4,60.03,6.1,5.3,8,-8.1,-14.8,"-0.9","118.7734057","72.63072776","94.5247086708443","33.8462185926506","21165.72","1",126.8562239786,37.494351049,"131.161290322581","150.516129032258"
