"","%IncMSE"
"YEAR",19.8443967356729
"MONTH",37.6564832962298
"SO2",31.6533097579781
"CO",21.984916577029
"O3",22.8733793950181
"NO2",29.9566396376112
"MEAN_TEMP",9.8430089671086
"MEAN_MAX_TEMP",12.6093453565536
"MEAN_MIN_TEMP",6.29873957146376
"MAX_TEMP",16.5202814910887
"MIN_TEMP",14.1280485263973
"MEAN_PRES",13.6119383703056
"MEAN_SEA_PRES",18.332241756976
"MAX_SEA_PRES",21.1104242901765
"MIN_SEA_PRES",26.4108982635482
"MEAN_WATER_PRES",33.6768860471988
"MAX_WATER_PRES",10.2438523455423
"MIN_WATER_PRES",16.8980214744244
"MEAN_DEW_TEMP",5.75973342172426
"MEAN_HUM",13.8205422973789
"MIN_HUM",11.8041370647189
"SUM_PRECI",20.0067960475633
"DAY_MAX_PRECI",13.1281904493603
"HOUR_MAX_PRECI",14.7897783727143
"TEN_MINU_MAX_PRECI",11.3918220829349
"MEAN_WIND_SPED",14.7910128777186
"MAX_WIND_SPED",16.7764948148401
"MAX_INST_WIND_SPED",17.1479895088045
"MAX_WIND_DIR",11.2230925411759
"MAX_INST_WIND_DIR",11.2077952534253
"SUM_SUN",23.6550840219612
"PERC_SUN",18.8146311631036
"MAX_SNOW_DEP",6.60941230332268
"MAX_NEW_SNOW_DEP",4.69998994557423
"SUM_SNOW",6.68817140026491
"MEAN_MIN_GRA_TEMP",7.54202411480713
"MIN_GRA_TEMP",13.9949401350363
"MEAN_SURF_TEMP",13.5337091598856
"EM2_CO",15.7067336382612
"EM2_NOX",12.3652613404635
"EM2_SOX",10.3177725150865
"EM2_TSP",7.84780360080911
"EM2_PM10",9.14970857482297
"EM2_VOC",16.2627659349057
"EM2_NH3",13.4294555676835
"EM2_PM2.5",0
"EM3_CO",8.82289288904852
"EM3_NOX",10.9528899058708
"EM3_SOX",13.1749520331908
"EM3_TSP",17.3741030744831
"EM3_PM10",14.390204180868
"EM3_VOC",8.70010000824273
"EM3_NH3",15.1065067413971
"EM3_PM2.5",0
"EM4_CO",7.83908747705774
"EM4_NOX",11.3868933724199
"EM4_SOX",10.9958782407304
"EM4_TSP",10.5741022766083
"EM4_PM10",9.08628595231684
"EM4_VOC",15.3605454352561
"EM4_NH3",6.70872566630276
"EM4_PM2.5",0
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",10.4913691422451
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",13.9751495526685
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",7.97501958314324
"EM7_NOX",16.0118668600457
"EM7_SOX",8.40806475727597
"EM7_TSP",10.5305722386002
"EM7_PM10",10.1880445499241
"EM7_VOC",9.15704046677691
"EM7_NH3",12.2888895749655
"EM7_PM2.5",0
"EM8_CO",8.12538924003074
"EM8_NOX",7.29601001798094
"EM8_SOX",13.1838746531019
"EM8_TSP",8.71088451069934
"EM8_PM10",6.54648545500931
"EM8_VOC",9.66683005585598
"EM8_NH3",11.0785111976441
"EM8_PM2.5",0
"EM9_CO",10.1235626664528
"EM9_NOX",8.04837568715722
"EM9_SOX",9.28244798265411
"EM9_TSP",7.50298292475504
"EM9_PM10",7.06440878795673
"EM9_VOC",11.9799982273035
"EM9_NH3",23.8671389655001
"EM9_PM2.5",0
"POP_DEN",23.7346439437243
"YD_FREQ",50.9778055797738
"X_COORD",28.3199381998785
"Y_COORD",49.52115440785
