"","%IncMSE"
"YEAR",7.00242072862876
"MONTH",29.7245004637575
"SO2",9.94097540480375
"CO",13.4777408733045
"O3",16.2642197249571
"NO2",15.7612137324673
"MEAN_TEMP",8.97518529960882
"MEAN_MAX_TEMP",12.5883472376267
"MEAN_MIN_TEMP",8.04084088177138
"MAX_TEMP",11.0492107034216
"MIN_TEMP",10.7677847342389
"MEAN_PRES",11.8871611833453
"MEAN_SEA_PRES",14.809374854171
"MAX_SEA_PRES",12.6523183577132
"MIN_SEA_PRES",20.7806872557732
"MEAN_WATER_PRES",9.87750660983169
"MAX_WATER_PRES",10.5537795589513
"MIN_WATER_PRES",9.93722351865884
"MEAN_DEW_TEMP",9.6686251739291
"MEAN_HUM",9.12855183724278
"MIN_HUM",8.50356852807929
"SUM_PRECI",15.2186151777369
"DAY_MAX_PRECI",15.5473053661128
"HOUR_MAX_PRECI",13.6833665079667
"TEN_MINU_MAX_PRECI",10.6852439083377
"MEAN_WIND_SPED",12.715661917425
"MAX_WIND_SPED",10.5467553296373
"MAX_INST_WIND_SPED",12.411388195317
"MAX_WIND_DIR",11.6463240572708
"MAX_INST_WIND_DIR",13.1030843702036
"SUM_SUN",16.3282325244887
"PERC_SUN",12.9199665039367
"MAX_SNOW_DEP",6.55809658243561
"MAX_NEW_SNOW_DEP",7.49398535340328
"SUM_SNOW",6.30116576867106
"MEAN_MIN_GRA_TEMP",8.43422113594945
"MIN_GRA_TEMP",8.28464939232727
"MEAN_SURF_TEMP",11.8211458790462
"BEIJING_PM2.5",15.8760467446577
"SHANGHAI_PM2.5",23.4721793113423
"BEIJIING_PM2.5_STD",26.480858425797
"SHANGHAI_PM2.5_STD",24.1219116697109
"POP_DEN",17.4749485518698
"YD_FREQ",17.5629512981889
"X_COORD",17.0622327646704
"Y_COORD",23.9230415606451
"BEIJING_AQI",18.8223021087587
"TIANJIN_AQI",20.5830212194996
