V1,df,rf,bagging,gbm,sum4,sum2,,,,
YEAR,0,1,1,1,3,2,YD_FREQ,NO2,MONTH,YD_FREQ
MONTH,1,1,1,1,4,2,NO2,Y_COORD,NO2,NO2
SO2,0,1,1,1,3,2,MONTH,MONTH,YD_FREQ,MONTH
CO,0,1,1,1,3,2,O3,YD_FREQ,MIN_HUM,Y_COORD
O3,1,1,1,1,4,2,POP_DEN,O3,MIN_WATER_PRES,POP_DEN
NO2,1,1,1,1,4,2,EM2_VOC,SO2,MEAN_SEA_PRES,MEAN_SEA_PRES
PM10,0,0,0,0,0,0,Y_COORD,POP_DEN,Y_COORD,O3
MEAN_TEMP,1,0,1,0,2,0,EM7_CO,EM3_PM10,MEAN_SURF_TEMP,SUM_SUN
MEAN_MAX_TEMP,1,0,1,0,2,0,SUM_SUN,EM2_CO,MEAN_MAX_TEMP,CO
MEAN_MIN_TEMP,0,0,1,0,1,0,MIN_HUM,EM3_TSP,MEAN_TEMP,MEAN_SURF_TEMP
MAX_TEMP,0,0,1,0,1,0,MEAN_MIN_GRA_TEMP,SUM_SUN,MAX_SEA_PRES,MAX_SEA_PRES
MIN_TEMP,1,0,0,0,1,0,MEAN_SURF_TEMP,EM2_SOX,MEAN_MIN_GRA_TEMP,YEAR
MEAN_PRES,0,0,0,0,0,0,MIN_WATER_PRES,EM7_SOX,MAX_WATER_PRES,MEAN_DEW_TEMP
MEAN_SEA_PRES,1,0,1,1,3,1,MEAN_MAX_TEMP,MAX_INST_WIND_SPED,SUM_SUN,MIN_SEA_PRES
MAX_SEA_PRES,0,0,1,1,2,1,MEAN_TEMP,X_COORD,MIN_SEA_PRES,X_COORD
MIN_SEA_PRES,0,0,1,1,2,1,PERC_SUN,DAY_MAX_PRECI,PERC_SUN,EM2_SOX
MEAN_WATER_PRES,0,0,1,0,1,0,MEAN_SEA_PRES,EM9_VOC,MEAN_DEW_TEMP,SO2
MAX_WATER_PRES,1,0,1,0,2,0,MEAN_HUM,EM3_SOX,MAX_TEMP,EM9_VOC
MIN_WATER_PRES,1,0,1,0,2,0,MAX_WATER_PRES,YEAR,MEAN_WATER_PRES,EM2_NH3
MEAN_DEW_TEMP,1,0,1,1,3,1,MEAN_WIND_SPED,EM7_NH3,X_COORD,EM4_VOC
MEAN_HUM,1,0,1,0,2,0,MIN_TEMP,EM2_TSP,MIN_GRA_TEMP,EM7_NOX
MIN_HUM,1,0,1,0,2,0,MEAN_DEW_TEMP,EM2_PM10,MEAN_HUM,EM2_CO
