"","variable.importance"
"SHANGHAI_PM2.5",255379.768340081
"MAX_WATER_PRES",175700.271390563
"MEAN_MIN_TEMP",164822.514596265
"MEAN_DEW_TEMP",160051.656464008
"MEAN_WATER_PRES",160051.656464008
"MEAN_MIN_GRA_TEMP",157476.56793179
"MONTH",54172.6289816895
"MEAN_SURF_TEMP",33362.7998785414
"MEAN_SEA_PRES",30323.6320404593
"MEAN_MAX_TEMP",28904.556490259
"MAX_SEA_PRES",20831.9274399924
"MEAN_TEMP",19271.8789924834
"MAX_TEMP",18859.0284735802
"MIN_HUM",16904.4709713947
"MEAN_HUM",14097.937180777
"SHANGHAI_PM2.5_STD",13601.7144920605
"EM3_NH3",13344.6773443177
"O3",12087.4511919047
"EM3_VOC",11794.9994772116
"EM3_CO",11721.4927586476
"EM3_NOX",11150.6360220891
"MIN_SEA_PRES",11003.093808074
"DAY_MAX_PRECI",10075.5529244149
"EM3_SOX",7713.31519877625
"SUM_PRECI",7536.62820237418
"Y_COORD",6213.93281521707
"EM4_NOX",4375.41321545097
"MAX_INST_WIND_SPED",3601.22254810161
"EM9_VOC",3012.79741103454
"MAX_WIND_SPED",2475.84050181985
"NO2",1139.25775152168
