"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",16.4222257110337
"YD_FREQ","YD_FREQ",15.9513648414881
"MONTH","MONTH",12.1581401234878
"SO2","SO2",6.38818984206254
"BEIJING_PM2.5","BEIJING_PM2.5",5.44772768909648
"MEAN_TEMP","MEAN_TEMP",5.16374431175828
"Y_COORD","Y_COORD",4.78714393346297
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",4.26089523086208
"NO2","NO2",4.22028946752293
"MIN_SEA_PRES","MIN_SEA_PRES",3.2941612101581
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",2.33530346881164
"EM9_NH3","EM9_NH3",1.2153599092134
"CO","CO",1.205485732927
"MAX_WATER_PRES","MAX_WATER_PRES",1.1775010790385
"X_COORD","X_COORD",1.14973464779214
"EM3_SOX","EM3_SOX",1.06165855434747
"MAX_TEMP","MAX_TEMP",0.869470126379979
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.72794309414051
"EM2_VOC","EM2_VOC",0.698825231122535
"EM7_NOX","EM7_NOX",0.633125676172886
"POP_DEN","POP_DEN",0.558186620924229
"EM2_CO","EM2_CO",0.542549207301818
"MAX_SEA_PRES","MAX_SEA_PRES",0.508410079006055
"EM2_NH3","EM2_NH3",0.504767793927979
"EM3_TSP","EM3_TSP",0.49127205277188
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",0.487259296624794
"EM4_NOX","EM4_NOX",0.47388839572631
"SUM_SUN","SUM_SUN",0.445911409881334
"EM7_TSP","EM7_TSP",0.427734485173751
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.382750434739508
"PERC_SUN","PERC_SUN",0.378144508633259
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.360399743574445
"EM4_TSP","EM4_TSP",0.344345523625573
"MEAN_SEA_PRES","MEAN_SEA_PRES",0.334407684943059
"MEAN_HUM","MEAN_HUM",0.312834732311923
"EM2_TSP","EM2_TSP",0.276851653363887
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.276287866464187
"EM4_CO","EM4_CO",0.238978224953368
"EM2_NOX","EM2_NOX",0.235413280484921
"YEAR","YEAR",0.226769977130489
"EM3_PM10","EM3_PM10",0.203964440291934
"EM3_NH3","EM3_NH3",0.192481234860677
"O3","O3",0.1894318286596
"SUM_PRECI","SUM_PRECI",0.188650996281121
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.188080437555756
"EM2_PM10","EM2_PM10",0.176753786044934
"EM2_SOX","EM2_SOX",0.160152855100294
"EM6_VOC","EM6_VOC",0.138936677815754
"EM9_VOC","EM9_VOC",0.112013727749362
"MEAN_PRES","MEAN_PRES",0.111135478432766
"EM3_VOC","EM3_VOC",0.108857605392672
"MIN_HUM","MIN_HUM",0.0973536094926542
"EM2_PM2.5","EM2_PM2.5",0.0891945528130176
"EM4_NH3","EM4_NH3",0.0856311780861884
"EM9_SOX","EM9_SOX",0.0854518774533578
"EM8_NH3","EM8_NH3",0.074401165474755
"EM7_PM2.5","EM7_PM2.5",0.0738489866254747
"EM4_VOC","EM4_VOC",0.0730150202492194
"EM7_NH3","EM7_NH3",0.0605914611911097
"EM8_PM2.5","EM8_PM2.5",0.0567623994703011
"EM3_PM2.5","EM3_PM2.5",0.0512208764351978
"EM3_CO","EM3_CO",0.0511455654559351
"EM7_SOX","EM7_SOX",0.0451753400159655
"SUM_SNOW","SUM_SNOW",0.0447248082448182
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.026052260770231
"EM4_PM10","EM4_PM10",0.0249422149804015
"EM9_PM10","EM9_PM10",0.0233009251512107
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0.0230241291645861
"EM8_CO","EM8_CO",0.0220720578106655
"EM8_VOC","EM8_VOC",0.0196054170798327
"EM5_VOC","EM5_VOC",0.019598385082235
"EM9_NOX","EM9_NOX",0.0194034972113103
"MAX_WIND_DIR","MAX_WIND_DIR",0.0188391760514746
"EM8_NOX","EM8_NOX",0.0172186229832389
"MIN_TEMP","MIN_TEMP",0.0164755674122443
"EM9_TSP","EM9_TSP",0.0157103273585881
"EM8_SOX","EM8_SOX",0.0144068332814895
"EM9_PM2.5","EM9_PM2.5",0.0136523202280656
"EM8_TSP","EM8_TSP",0.0135902699668596
"EM7_CO","EM7_CO",0.00956541369070163
