"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",14.5678876105201
"MONTH","MONTH",9.8591468376427
"MAX_WATER_PRES","MAX_WATER_PRES",7.18359147379632
"SO2","SO2",6.12745403150278
"CO","CO",5.23675064041521
"YD_FREQ","YD_FREQ",4.46103772881472
"Y_COORD","Y_COORD",3.68667380104334
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",3.32361848687497
"MEAN_SEA_PRES","MEAN_SEA_PRES",2.77363662021764
"NO2","NO2",2.54716212988702
"MAX_SEA_PRES","MAX_SEA_PRES",2.19937814356296
"EM9_NH3","EM9_NH3",2.15958324750593
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",1.7685393289005
"SUM_SUN","SUM_SUN",1.61285484396983
"X_COORD","X_COORD",1.48474812504574
"SUM_PRECI","SUM_PRECI",1.39400993408237
"MIN_SEA_PRES","MIN_SEA_PRES",1.35788535332072
"EM7_NOX","EM7_NOX",1.34697510839988
"EM2_VOC","EM2_VOC",1.19827252869764
"O3","O3",1.0605251201409
"POP_DEN","POP_DEN",0.980610927181234
"EM2_NH3","EM2_NH3",0.971164505924353
"EM4_VOC","EM4_VOC",0.865609768756345
"EM6_VOC","EM6_VOC",0.835783500634148
"EM2_CO","EM2_CO",0.749215865187978
"PERC_SUN","PERC_SUN",0.715365202456522
"EM4_NOX","EM4_NOX",0.665062443594849
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.636639477853429
"EM8_SOX","EM8_SOX",0.629296588070777
"MAX_INST_WIND_SPED","MAX_INST_WIND_SPED",0.617724398773988
"MAX_WIND_SPED","MAX_WIND_SPED",0.617352561315662
"EM3_NH3","EM3_NH3",0.575613346030131
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.530642008326751
"MEAN_PRES","MEAN_PRES",0.529052365893554
"MIN_WATER_PRES","MIN_WATER_PRES",0.521311990253102
"EM4_TSP","EM4_TSP",0.49159395531347
"EM3_SOX","EM3_SOX",0.486956851232281
"EM3_TSP","EM3_TSP",0.482945879598375
"MAX_TEMP","MAX_TEMP",0.482901390781372
"EM5_VOC","EM5_VOC",0.462661175121163
"EM2_TSP","EM2_TSP",0.453266895889154
"YEAR","YEAR",0.448878538531517
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.440791630778227
"MIN_TEMP","MIN_TEMP",0.437661609797105
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.416793905473213
"EM3_CO","EM3_CO",0.387537378412923
"MIN_HUM","MIN_HUM",0.382337419650636
"EM9_CO","EM9_CO",0.370928161018617
"EM2_PM10","EM2_PM10",0.364490443343401
"EM3_PM10","EM3_PM10",0.357339803970188
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.343939557607999
"EM7_NH3","EM7_NH3",0.33092600007785
"MIN_GRA_TEMP","MIN_GRA_TEMP",0.312454785216801
"EM2_NOX","EM2_NOX",0.29011291093128
"EM9_VOC","EM9_VOC",0.28037933513313
"EM9_NOX","EM9_NOX",0.278477298765802
"EM2_SOX","EM2_SOX",0.277750489171909
"EM4_PM10","EM4_PM10",0.27613004195793
"EM8_TSP","EM8_TSP",0.275529294839946
"EM3_VOC","EM3_VOC",0.266206576251568
"EM4_CO","EM4_CO",0.263813191673687
"EM7_TSP","EM7_TSP",0.263798060424204
"EM8_NH3","EM8_NH3",0.261691985812577
"MEAN_HUM","MEAN_HUM",0.260715225533453
"EM7_CO","EM7_CO",0.252745592962994
"TEN_MINU_MAX_PRECI","TEN_MINU_MAX_PRECI",0.250049915548696
"EM8_CO","EM8_CO",0.249506862534215
"EM7_SOX","EM7_SOX",0.235716184443033
"EM8_VOC","EM8_VOC",0.228944398357787
"EM4_NH3","EM4_NH3",0.213309383006302
"EM9_SOX","EM9_SOX",0.209160925495824
"HOUR_MAX_PRECI","HOUR_MAX_PRECI",0.206735637407057
"SUM_SNOW","SUM_SNOW",0.204916666664234
"EM8_PM10","EM8_PM10",0.203010638375399
"EM3_NOX","EM3_NOX",0.184780977066948
"EM9_TSP","EM9_TSP",0.170640835099889
"EM8_NOX","EM8_NOX",0.161258359494042
"EM7_VOC","EM7_VOC",0.15757370795752
"MAX_WIND_DIR","MAX_WIND_DIR",0.15447490950458
"EM4_SOX","EM4_SOX",0.143643210169861
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.141375695979064
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0.139416457031148
"MEAN_TEMP","MEAN_TEMP",0.106706049044138
"MAX_SNOW_DEP","MAX_SNOW_DEP",0.0866599464882627
"EM9_PM10","EM9_PM10",0.0601878104651102
"EM2_PM2.5","EM2_PM2.5",0
"EM3_PM2.5","EM3_PM2.5",0
"EM4_PM2.5","EM4_PM2.5",0
"EM5_CO","EM5_CO",0
"EM5_NOX","EM5_NOX",0
"EM5_SOX","EM5_SOX",0
"EM5_TSP","EM5_TSP",0
"EM5_PM10","EM5_PM10",0
"EM5_NH3","EM5_NH3",0
"EM5_PM2.5","EM5_PM2.5",0
"EM6_CO","EM6_CO",0
"EM6_NOX","EM6_NOX",0
"EM6_SOX","EM6_SOX",0
"EM6_TSP","EM6_TSP",0
"EM6_PM10","EM6_PM10",0
"EM6_NH3","EM6_NH3",0
"EM6_PM2.5","EM6_PM2.5",0
"EM7_PM10","EM7_PM10",0
"EM7_PM2.5","EM7_PM2.5",0
"EM8_PM2.5","EM8_PM2.5",0
"EM9_PM2.5","EM9_PM2.5",0
