"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6","mn"
"1","SO2",2.71852340827801,1.41845507779274,2.84465613651857,2.36488137687491,3.41148220707834,1.61958083708268,3.28450124991778,4.30691250346977,2.71852340827801
"2","CO",2.06187728624071,0.60861475889803,2.03785993485918,1.60529580675327,3.18192813777648,1.32574480228354,3.00848357254512,3.92087142518154,2.06187728624071
"3","O3",1.9414215945808,0.683464149910108,2.23887989930561,1.65165816450692,3.02610905129372,1.23095778714757,2.94666150043402,3.74864517894458,1.9414215945808
"4","NO2",2.79568300424998,1.17360807573727,2.5286992966282,2.36239542335592,3.39970783084845,1.47470612718556,3.24217424250213,4.05397401795079,2.79568300424998
"5","MEAN_PRES",-4.496657491618,0.333962550999592,-1.63337468722969,-4.18814158028479,2.86666553062431,1.20790536605505,2.78953438849413,3.74632831641938,-4.496657491618
"6","MEAN_SEA_PRES",0.836344641602158,1.04212107265676,-0.237518592730264,-3.48653374231424,1.95811395809719,2.86911334047691,3.51158778550683,3.03874325916502,0.836344641602158
"7","MAX_SEA_PRES",1.40012740412051,4.94727951161005,7.47523688538636,2.3130147917585,2.59292727700521,2.32033869926377,5.77884421160042,3.45562567407926,1.40012740412051
"8","MIN_SEA_PRES",-3.38634790094402,-2.85138560186931,1.7860252096372,0.774405299076004,1.39501932016752,0.226201234262921,3.68496624757163,3.81144815153992,-3.38634790094402
"9","MAX_WATER_PRES",1.65709178951019,0.354300223272607,2.05196586785727,0.954702533832613,3.00715446742065,1.09335592772012,3.01490085651176,3.57821215866553,1.65709178951019
"10","SUM_PRECI",1.91801488637954,0.592472629704417,1.84990866365775,1.40394416773058,3.11215183563033,1.2524067204665,2.9716136973025,3.81247720611701,1.91801488637954
"11","MEAN_WIND_SPED",1.80307434353278,0.623280804191523,1.67356118300426,1.26238025223593,3.06404342797462,1.22269531220109,2.94539036729096,3.76578235201364,1.80307434353278
"12","SUM_SUN",2.38337784744249,2.11106541423974,2.25092393993025,2.38440621000289,3.53763111366201,1.75803571602626,3.29227418960818,4.11092254964117,2.38337784744249
"13","BEIJING_PM2.5",2.12713180234925,0.992347508959438,2.06213107330637,1.43934322882471,2.93834691324867,1.4384922805123,3.09615059338793,4.14278456334326,2.12713180234925
"14","BEIJIING_PM2.5_STD",2.2348460537208,0.597926315182289,2.39853959795806,1.64875710039597,3.54259450712229,1.42707837078417,3.57004442488536,4.1182609281014,2.2348460537208
"15","POP_DEN",2.20273291007969,0.811502117429715,1.81754742399076,1.7910493817183,3.20090481313783,1.37436338149188,2.94158252162276,3.91176869115363,2.20273291007969
"16","YD_FREQ",2.00308704996955,0.694196807604913,2.12464211256472,1.56066879982624,3.15571716722946,1.3375577212214,3.0070266198148,3.86801796779918,2.00308704996955
