CODE,START_DATE,END_DATE,NAME,MANAGEMENT,LAT,LNG,ADDRESS
90,1968.01.01,,속초,속초기상대(90),38.2509,128.5647,강원도 고성군 토성면
93,2016.10.01,,북춘천,춘천기상대(101),37.9475,127.7547,강원도 춘천시 신북읍
95,1988.01.01,,철원,춘천기상대(101),38.1479,127.3042,강원도 강릉시 강동면
98,1998.02.01,,동두천,수도권기상청(119),37.9019,127.0607,경기도 동두천시 생연동
99,2013.10.22,,파주,수도권기상청(119),37.8859,126.7665,경기도 파주시 문산읍
99,2001.12.07,2013.10.22,문산,파주기상대(99),37.8859,126.7665,경기도 파주시 문산읍
100,2006.11.07,,대관령,대관령기상대(100),37.6771,128.7183,강원도 평창군 대관령면
100,1971.07.15,2006.11.06,대관령,,37.6869,128.7587,강원도 평창군 대관령면
101,1966.01.01,,춘천,춘천기상대(101),37.9026,127.7357,강원도 춘천시 사농동
102,2000.11.01,,백령도,백령도기상대(102),37.9661,124.6305,인천광역시 옹진군 백령면
104,2008.07.28,,북강릉,강릉(구 105),37.8046,128.8554,강원도 강릉시 사천면
105,1911.10.03,,강릉,강릉(구 105),37.7515,128.891,강원도 강릉시 남문동
106,1992.05.01,,동해,동해기상대(106),37.5071,129.1243,강원도 동해시 용정동
108,2010.08.16,,서울,서울기상관측소(108),37.5714,126.9658,서울시 종로구 송월동
108,1907.10.01,2010.08.15,서울,서울기상관측소(108),37.5714,126.9658,서울시 종로구 송월동
112,2013.10.22,,인천,인천기상대(112),37.4777,126.624,인천광역시 중구 송월동
112,1904.08.29,2013.10.22,인천,인천기상대(112),37.4776,126.6244,인천광역시 중구 송월동
114,1971.09.06,,원주,원주기상대(114),37.3376,127.9466,강원도 원주시 명륜동
115,1938.08.10,,울릉도,울릉도기상대(115),37.4813,130.8986,경상북도 울릉군 울릉읍
116,1984.01.01,1990.12.31,관악산,,37.4442,126.9639,경기도 과천시 중앙동
119,1964.01.01,,수원,수도권기상청(119),37.2723,126.9853,경기도 수원시 권선구 서둔동
121,1994.12.01,,영월,영월기상대(121),37.1813,128.4574,강원도 영월군 영월읍
127,1972.01.01,,충주,청주기상대(131),36.9704,127.9527,충청북도 충주시 교현동
