,year,month,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
1,2001,1,11110,108,0.008217822,NA,0.010168691,0.052107629,97.41001353
2,2001,1,11140,108,0.009866197,1.89109375,0.00977304,0.025887208,44.84156977
3,2001,1,11170,108,0.008667145,0.948648649,0.008519621,0.049552097,75.96216216
4,2001,1,11200,108,0.004647376,0.824797844,0.005254717,0.038789757,107.6151203
5,2001,1,11215,108,0.006043127,0.730727763,0.011401674,0.042209177,89.30945946
6,2001,1,11230,108,0.004694767,1.097580645,0.014785714,0.04152957,76.03629032
7,2001,1,11260,108,0.008025,2.017146776,0.015631868,0.040741433,81.67768595
8,2001,1,11290,108,0.011871907,1.812227074,0.018497703,0.0343246,NA
9,2001,1,11305,108,0.007587571,1.27611276,0.00626301,0.05437518,74.36335404
10,2001,1,11320,108,0.010224628,1.033829499,0.016257104,0.034894452,61.03653586
11,2001,1,11350,108,0.008800539,1.204588394,0.024136119,NA,86.31671159
12,2001,1,11380,108,0.007549192,0.98723099,0.018411765,0.039472464,38.48142645
13,2001,1,11410,108,0.006530612,1.136223776,0.008413514,0.044194595,64.45121951
14,2001,1,11440,108,0.011342742,1.556123822,0.009001344,0.05297561,81.38950276
15,2001,1,11470,108,0.006202703,1.077192982,0.004230769,0.034691092,83.82880435
16,2001,1,11500,108,0.005520891,0.824687933,0.010426003,0.037747573,67.59861111
17,2001,1,11530,108,0.00737518,0.921807747,0.008314655,0.041401439,46.13858268
18,2001,1,11545,108,0.003755396,1.160519126,0.006209302,0.046675787,69.29972752
19,2001,1,11560,108,0.009662242,1.606340058,0.011420833,0.033991667,46.52631579
20,2001,1,11590,108,0.005955526,1.564690027,0.007110512,0.046331053,65.51075269
21,2001,1,11620,108,0.006429268,1.334297521,0.01993361,0.039651633,NA
22,2001,1,11650,108,0.006885559,NA,NA,NA,53.82849239
23,2001,1,11680,108,0.006791667,1.64327957,0.009388441,0.034728495,74.91666667
24,2001,1,11710,108,0.006591231,0.874212034,NA,0.03534464,44.47275204
25,2001,1,11740,108,0.004773842,1.459776536,0.006700809,0.04427504,96.34636119
26,2001,1,26110,159,0.008465753,0.306721536,0.025043896,0.024718793,NA
27,2001,1,26200,159,0.007375367,0.670656934,0.025695238,0.020176871,33.81818182
28,2001,1,26230,159,0.008488439,0.826975477,0.013241144,0.033040886,46.69021739
29,2001,1,26290,159,0.007045822,1.03032345,0.020700809,0.05084097,49.97846568
30,2001,1,26320,257,0.00502981,0.902435724,0.023162602,0.020796748,61.02571042
31,2001,1,26380,159,0.007439946,1.100134771,0.009717949,0.018417933,65.44145357
32,2001,1,26410,257,0.00712076,0.521845319,0.024396201,0.022519674,60.96481732
33,2001,1,26470,159,0.008479082,0.837596302,0.02819,0.030970043,44.51551957
34,2001,1,26530,159,0.010066127,0.817142857,0.016898785,0.031224576,69.50673854
35,2001,1,27110,176,0.012583102,2.109063444,0.011067773,0.03569018,82.21438451
36,2001,1,27140,176,0.005674064,1.097503467,0.012622746,0.02436061,69.72393539
37,2001,1,27170,176,0.01259175,1.037288136,0.015667594,0.039842342,36.24545455
38,2001,1,27200,143,0.008640278,NA,0.018420622,0.03550271,83.33576642
39,2001,1,27260,143,0.009295989,0.957814661,0.015854772,0.037871191,51.72408964
40,2001,1,28110,112,0.011081301,0.739295393,0.009846883,0.024846883,64.15924426
41,2001,1,28140,112,0.011851351,0.813918919,0.0135,0.034855405,57.15322581
42,2001,1,28170,112,0.015975342,1.300410959,0.020531507,0.042671683,65.53961749
43,2001,1,28200,112,0.00840426,0.963426631,0.00963045,0.033807156,62.66841229
44,2001,1,28237,112,0.002976871,0.865578231,0.008065306,0.031312925,54.24459459
45,2001,1,28260,112,0.007505976,0.87674926,0.015944255,0.032505038,54.39510793
46,2001,1,28710,201,0.005917608,0.646672888,0.033594721,0.012634641,49.40884917
47,2001,1,29110,156,0.005553279,0.86207367,0.011813278,0.034901153,34.96584699
48,2001,1,29140,156,0.005317808,0.765275908,0.014298789,NA,56.34610123
49,2001,1,29170,156,0.003903448,0.908990318,0.023953103,NA,45.31353591
50,2001,1,29200,156,0.004149596,0.626549865,0.011355795,0.031239892,73.12732475
51,2001,1,30140,133,0.006346154,2.116542474,0.010045994,0.018380747,81.3245614
52,2001,1,30200,133,0.004317647,1.561754386,0.025544526,0.023815296,43.36617647
53,2001,1,30230,133,0.012383191,2.245192308,0.015191549,0.021794444,57.74476987
54,2001,1,31140,152,0.010072998,0.899455995,0.015886321,0.020449611,35.60791764
55,2001,1,31170,152,0.009591837,0.269931973,0.024288276,0.012295198,44.07022901
56,2001,1,31710,152,0.00888031,0.856852642,0.022901699,0.024563669,48.66863375
57,2001,1,41115,119,0.01229122,0.986527158,0.011755524,0.04212789,80.97494008
58,2001,1,41117,119,0.006578875,1.04526749,0.009391484,0.035320334,51.14972527
59,2001,1,41131,108,0.009440217,1.908695652,0.009846467,0.024115962,82.55706522
60,2001,1,41135,108,0.005575499,1.334699454,NA,0.022635744,89.04638472
61,2001,1,41150,98,0.012471429,NA,0.013094421,0.030028926,NA
62,2001,1,41171,108,0.006319892,1.159677419,0.013442204,0.023987772,43.69892473
63,2001,1,41173,108,0.010642831,1.58207155,0.011423318,0.045774607,61.11640553
64,2001,1,41190,112,0.01090354,0.939615559,0.013645772,0.041723807,87.36993454
65,2001,1,41210,108,0.011427211,NA,0.013677686,0.032682138,66.27762431
66,2001,1,41220,119,0.004741935,1.018156425,0.012231183,0.031930108,91.25837989
67,2001,1,41273,119,0.009041925,0.768738184,0.009801684,0.041319313,75.76902779
68,2001,1,41290,108,0.014932796,1.026269214,0.017129032,0.03365793,69.16191211
69,2001,1,41310,108,0.008418056,1.651527778,0.013835294,0.028195833,59.66111111
70,2001,1,41360,108,0.011324288,1.676358696,0.01419323,0.024533967,35.94896552
71,2001,1,41390,108,0.013157895,1.194293866,0.020793447,0.044676638,77.56267806
72,2001,1,41410,119,0.026043069,NA,0.013510736,0.032547425,78.38037634
73,2001,1,41461,203,0.007282178,0.787808896,NA,0.041243822,55.07960199
74,2001,1,42130,114,0.011153169,1.449569598,0.013811955,0.01946348,52.79888268
75,2001,1,42800,211,0.012217742,NA,0.026204301,0.009193548,36.77818182
76,2001,1,42820,90,0.005200269,NA,NA,NA,NA
77,2001,1,43113,131,0.003758065,0.971985816,0.009887097,0.020222816,80.67023173
78,2001,1,43114,131,0.007901852,1.509666081,0.018060823,0.033234875,NA
79,2001,1,43150,221,0.008945355,0.846433566,0.014459644,0.021938942,66.03458647
80,2001,1,44131,232,0.006667643,1.625295858,0.010806785,0.045082171,38.25915081
81,2001,1,44210,129,0.005355858,1.285466,0.025647164,0.024366462,59.26582406
82,2001,1,44825,129,0.001567185,0.211977716,0.02660573,0.010647139,73.20718232
83,2001,1,45111,146,0.006370968,1.44422043,0.013659946,0.015126344,NA
84,2001,1,45113,146,0.003323887,0.748717949,0.023676113,0.029670715,41.47098516
85,2001,1,45130,140,0.011805705,0.679594595,0.023871309,0.023354648,93.8173987
86,2001,1,46110,165,0.004748988,0.507668712,0.022848853,0.022691475,28.55330634
87,2001,1,46130,168,0.009085048,0.808232119,0.025388228,0.015113358,57.51432881
88,2001,1,46150,174,0.003542647,0.566374269,0.017944785,0.012848624,35.93009119
89,2001,1,46230,266,0.00345616,0.585298197,0.028813424,0.014928017,43.07972525
90,2001,1,46830,165,0.002996933,0.352226721,0.016685061,0.0106393,37.56467316
91,2001,1,47111,138,0.008050201,0.766049627,0.024827849,0.025395888,49.53590682
92,2001,1,47130,283,0.007158983,1.009044369,0.014816327,0.019772586,38.50081566
93,2001,1,47150,135,0.006354839,1.448387097,0.01654105,0.023308322,61.52238806
94,2001,1,47170,136,0.008342541,1.091304348,0.011188513,0.022545455,46.29671897
95,2001,1,47190,279,0.006913101,0.862217927,0.012938421,0.028616981,53.91509823
96,2001,1,47770,277,0.003833096,0.371407625,0.022492669,0.003854412,30.10940171
97,2001,1,47940,115,0.001588415,0.245584046,0.038016461,0.006327407,NA
98,2001,1,48121,255,0.005924765,0.635488722,0.017670677,0.028252632,NA
99,2001,1,48127,155,0.005793839,1.024461442,0.013040434,0.03092362,65.31054245
100,2001,1,48129,155,0.005246631,0.812533693,0.024064516,0.018677898,NA
101,2001,1,48170,192,0.004152448,1.142261104,0.018170929,0.01687214,45.5941358
102,2001,1,48250,253,0.008636236,0.917134831,0.026865169,0.03398736,33.74303406
103,2001,1,50110,184,0.001452594,0.323973494,0.032608959,0.013052077,42.34328744
